日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2024-03-08,農産物（直送）,食品,岡田 太郎,鳥取,中堅企業,REG-0065,直販,71,657536,311123,346413,52.7,
2024-03-15,日用品,日用品,本田 一郎,広島,個人事業主,REG-0093,直販,71,188470,106620,81850,43.4,
2024-03-19,地域特産品,特産品,中村 幸子,鳥取,個人事業主,REG-0068,代理店,5,52880,20753,32127,60.8,
2024-03-21,食品・飲料,食品,松田 恵,広島,個人事業主,REG-0054,代理店,66,184270,108295,75975,41.2,
2024-03-25,業務用食材,食品,中村 幸子,山口,個人事業主,REG-0139,直販,9,186315,102193,84122,45.2,
2024-03-26,農産物（直送）,食品,西村 拓,鳥取,個人事業主,REG-0145,代理店,24,150221,65831,84390,56.2,
2024-03-27,農産物（直送）,食品,岡田 太郎,島根,中堅企業,REG-0130,代理店,7,65670,29923,35747,54.4,
2024-03-27,日用品,日用品,本田 一郎,岡山,中小企業,REG-0093,代理店,25,68565,38822,29743,43.4,
2024-03-28,日用品,日用品,中村 幸子,島根,個人事業主,REG-0021,代理店,27,59578,35685,23893,40.1,
2024-04-03,食品・飲料,食品,西村 拓,鳥取,中小企業,REG-0001,Web,35,118181,72196,45985,38.9,
2024-04-07,農産物（直送）,食品,松田 恵,島根,個人事業主,REG-0073,Web,7,53229,25184,28045,52.7,
2024-04-09,業務用食材,食品,中村 幸子,山口,中堅企業,REG-0112,直販,8,215810,104958,110852,51.4,
2024-04-12,電化製品,家電,岡田 太郎,山口,個人事業主,REG-0138,直販,5,213823,115914,97909,45.8,
2024-04-13,地域特産品,特産品,中村 幸子,広島,中小企業,REG-0018,直販,8,84861,34052,50809,59.9,
2024-04-18,農産物（直送）,食品,西村 拓,島根,個人事業主,REG-0018,Web,99,740252,326029,414223,56.0,
2024-04-18,地域特産品,特産品,松田 恵,山口,官公庁,REG-0073,代理店,2,28871,11886,16985,58.8,
2024-04-18,食品・飲料,食品,岡田 太郎,鳥取,個人事業主,REG-0124,直販,76,212738,128327,84411,39.7,
2024-04-20,業務用食材,食品,岡田 太郎,広島,個人事業主,REG-0025,直販,3,69529,36314,33215,47.8,
2024-04-20,食品・飲料,食品,本田 一郎,岡山,中小企業,REG-0087,代理店,56,190783,120535,70248,36.8,
2024-04-20,日用品,日用品,本田 一郎,岡山,官公庁,REG-0134,直販,83,312292,179581,132711,42.5,
2024-04-21,地域特産品,特産品,中村 幸子,山口,個人事業主,REG-0134,直販,2,19953,7541,12412,62.2,
2024-04-22,日用品,日用品,本田 一郎,岡山,中堅企業,REG-0036,Web,99,328376,195772,132604,40.4,
2024-04-25,地域特産品,特産品,松田 恵,島根,中小企業,REG-0139,代理店,3,35314,14866,20448,57.9,
2024-04-26,食品・飲料,食品,岡田 太郎,島根,個人事業主,REG-0074,直販,71,212026,126517,85509,40.3,
2024-04-26,地域特産品,特産品,岡田 太郎,広島,個人事業主,REG-0098,直販,8,80140,30954,49186,61.4,
2024-04-27,食品・飲料,食品,中村 幸子,島根,中堅企業,REG-0037,代理店,81,353235,211785,141450,40.0,
2024-05-04,食品・飲料,食品,本田 一郎,広島,中小企業,REG-0092,直販,84,306405,194317,112088,36.6,
2024-05-06,電化製品,家電,岡田 太郎,岡山,中堅企業,REG-0103,直販,6,361268,203871,157397,43.6,
2024-05-06,日用品,日用品,松田 恵,山口,中小企業,REG-0088,直販,56,151288,92591,58697,38.8,
2024-05-07,日用品,日用品,中村 幸子,岡山,官公庁,REG-0049,直販,92,364837,202918,161919,44.4,
2024-05-09,日用品,日用品,中村 幸子,鳥取,官公庁,REG-0104,代理店,63,229663,134297,95366,41.5,
2024-05-12,食品・飲料,食品,松田 恵,岡山,中堅企業,REG-0139,直販,66,274352,161057,113295,41.3,
2024-05-12,農産物（直送）,食品,岡田 太郎,山口,中堅企業,REG-0011,代理店,74,709094,340774,368320,51.9,
2024-05-13,業務用食材,食品,中村 幸子,岡山,中堅企業,REG-0143,直販,4,128641,69127,59514,46.3,
2024-05-13,電化製品,家電,岡田 太郎,広島,中小企業,REG-0004,代理店,1,43114,24087,19027,44.1,
2024-05-14,農産物（直送）,食品,西村 拓,島根,官公庁,REG-0059,代理店,91,954497,441599,512898,53.7,
2024-05-17,業務用食材,食品,西村 拓,鳥取,中堅企業,REG-0047,Web,8,223992,117725,106267,47.4,
2024-05-18,電化製品,家電,岡田 太郎,山口,中小企業,REG-0132,Web,2,94194,55186,39008,41.4,
2024-05-19,農産物（直送）,食品,本田 一郎,鳥取,中堅企業,REG-0118,代理店,48,418362,176865,241497,57.7,
2024-05-20,日用品,日用品,西村 拓,山口,個人事業主,REG-0069,直販,35,76980,44172,32808,42.6,
2024-05-28,電化製品,家電,岡田 太郎,島根,中小企業,REG-0128,直販,7,331674,189707,141967,42.8,
2024-06-04,包装・資材,資材,本田 一郎,広島,中堅企業,REG-0054,直販,2,47728,28529,19199,40.2,
2024-06-05,日用品,日用品,岡田 太郎,岡山,中小企業,REG-0114,代理店,41,101811,60402,41409,40.7,
2024-06-06,日用品,日用品,本田 一郎,岡山,中堅企業,REG-0102,直販,11,39743,22975,16768,42.2,
2024-06-13,日用品,日用品,岡田 太郎,山口,個人事業主,REG-0115,Web,99,233570,144130,89440,38.3,
2024-06-13,日用品,日用品,西村 拓,鳥取,個人事業主,REG-0069,代理店,95,241346,148579,92767,38.4,
2024-06-15,日用品,日用品,西村 拓,山口,中小企業,REG-0059,代理店,74,202834,111973,90861,44.8,
2024-06-18,食品・飲料,食品,本田 一郎,鳥取,個人事業主,REG-0089,直販,22,72470,44787,27683,38.2,
2024-06-18,食品・飲料,食品,西村 拓,岡山,個人事業主,REG-0060,代理店,42,122303,76470,45833,37.5,
2024-06-18,業務用食材,食品,西村 拓,島根,中小企業,REG-0120,Web,8,197352,109369,87983,44.6,
2024-06-18,農産物（直送）,食品,岡田 太郎,山口,個人事業主,REG-0067,直販,47,307644,136729,170915,55.6,
2024-06-19,業務用食材,食品,松田 恵,広島,個人事業主,REG-0108,代理店,6,114620,58297,56323,49.1,
2024-06-20,食品・飲料,食品,中村 幸子,広島,中堅企業,REG-0022,直販,72,313637,204948,108689,34.7,
2024-06-21,地域特産品,特産品,岡田 太郎,鳥取,中小企業,REG-0117,代理店,10,120675,49212,71463,59.2,
2024-06-21,日用品,日用品,岡田 太郎,岡山,個人事業主,REG-0051,代理店,82,217613,122409,95204,43.7,
2024-06-28,地域特産品,特産品,本田 一郎,岡山,個人事業主,REG-0106,直販,8,86060,35204,50856,59.1,
2024-07-03,包装・資材,資材,中村 幸子,岡山,個人事業主,REG-0040,直販,8,122397,75349,47048,38.4,
2024-07-06,日用品,日用品,本田 一郎,島根,中小企業,REG-0130,直販,86,261421,157483,103938,39.8,
2024-07-06,食品・飲料,食品,中村 幸子,山口,中小企業,REG-0019,代理店,55,207156,134339,72817,35.2,
2024-07-07,包装・資材,資材,西村 拓,広島,個人事業主,REG-0124,代理店,5,83176,47933,35243,42.4,
2024-07-07,日用品,日用品,岡田 太郎,鳥取,中堅企業,REG-0138,代理店,89,318111,175570,142541,44.8,
2024-07-08,日用品,日用品,西村 拓,広島,中堅企業,REG-0100,代理店,87,286864,160314,126550,44.1,
2024-07-09,食品・飲料,食品,岡田 太郎,広島,個人事業主,REG-0004,直販,46,133427,79749,53678,40.2,
2024-07-10,食品・飲料,食品,西村 拓,岡山,個人事業主,REG-0122,直販,31,95083,55173,39910,42.0,
2024-07-15,食品・飲料,食品,中村 幸子,広島,中堅企業,REG-0099,代理店,36,140283,89840,50443,36.0,
2024-07-15,日用品,日用品,中村 幸子,広島,官公庁,REG-0089,代理店,87,331063,188203,142860,43.2,
2024-07-15,電化製品,家電,本田 一郎,山口,中小企業,REG-0128,Web,5,202332,115186,87146,43.1,
2024-07-17,日用品,日用品,中村 幸子,鳥取,個人事業主,REG-0142,直販,81,183326,102806,80520,43.9,
2024-07-18,食品・飲料,食品,松田 恵,岡山,中堅企業,REG-0113,代理店,67,285904,178342,107562,37.6,
2024-07-18,地域特産品,特産品,西村 拓,鳥取,官公庁,REG-0073,代理店,5,72159,27119,45040,62.4,
2024-07-20,食品・飲料,食品,松田 恵,岡山,中小企業,REG-0116,直販,63,211008,124453,86555,41.0,
2024-07-21,日用品,日用品,中村 幸子,島根,官公庁,REG-0016,直販,85,331043,181946,149097,45.0,
2024-07-23,包装・資材,資材,松田 恵,広島,中小企業,REG-0073,直販,2,33691,19226,14465,42.9,
2024-08-02,日用品,日用品,岡田 太郎,山口,中堅企業,REG-0095,代理店,58,196237,117550,78687,40.1,お盆特売
2024-08-03,日用品,日用品,本田 一郎,岡山,個人事業主,REG-0025,代理店,19,41732,22616,19116,45.8,お盆特売
2024-08-03,食品・飲料,食品,松田 恵,島根,個人事業主,REG-0038,直販,55,173258,108144,65114,37.6,お盆特売
2024-08-07,食品・飲料,食品,松田 恵,広島,中小企業,REG-0019,直販,96,333424,210743,122681,36.8,お盆特売
2024-08-08,日用品,日用品,中村 幸子,山口,中小企業,REG-0078,直販,22,54528,33051,21477,39.4,お盆特売
2024-08-11,地域特産品,特産品,西村 拓,鳥取,個人事業主,REG-0015,Web,2,19991,8408,11583,57.9,お盆特売
2024-08-13,食品・飲料,食品,松田 恵,島根,中小企業,REG-0147,代理店,9,32437,20365,12072,37.2,お盆特売
2024-08-14,包装・資材,資材,松田 恵,山口,官公庁,REG-0084,代理店,9,216079,130793,85286,39.5,お盆特売
2024-08-14,農産物（直送）,食品,本田 一郎,島根,個人事業主,REG-0143,代理店,27,177341,79342,97999,55.3,お盆特売
2024-08-15,食品・飲料,食品,松田 恵,鳥取,中堅企業,REG-0066,直販,100,369619,214234,155385,42.0,お盆特売
2024-08-16,日用品,日用品,岡田 太郎,岡山,中小企業,REG-0034,代理店,60,167510,99226,68284,40.8,お盆特売
2024-08-17,農産物（直送）,食品,西村 拓,岡山,中堅企業,REG-0047,代理店,26,251630,114817,136813,54.4,お盆特売
2024-08-19,地域特産品,特産品,中村 幸子,広島,中小企業,REG-0131,代理店,9,96018,37631,58387,60.8,お盆特売
2024-08-21,業務用食材,食品,松田 恵,広島,中小企業,REG-0003,代理店,10,238287,115949,122338,51.3,お盆特売
2024-08-22,農産物（直送）,食品,松田 恵,鳥取,中小企業,REG-0057,直販,69,585496,266249,319247,54.5,お盆特売
2024-08-24,業務用食材,食品,中村 幸子,島根,中小企業,REG-0133,直販,4,97247,48395,48852,50.2,お盆特売
2024-08-26,食品・飲料,食品,西村 拓,広島,中小企業,REG-0064,直販,79,281177,176015,105162,37.4,お盆特売
2024-08-27,食品・飲料,食品,岡田 太郎,広島,中小企業,REG-0124,直販,46,164679,99247,65432,39.7,お盆特売
2024-09-01,食品・飲料,食品,本田 一郎,鳥取,個人事業主,REG-0014,直販,39,120490,76408,44082,36.6,
2024-09-05,地域特産品,特産品,松田 恵,山口,中堅企業,REG-0107,直販,4,63264,24700,38564,61.0,
2024-09-05,地域特産品,特産品,西村 拓,広島,中小企業,REG-0063,Web,1,11548,4815,6733,58.3,
2024-09-07,日用品,日用品,中村 幸子,島根,個人事業主,REG-0054,代理店,47,112484,63036,49448,44.0,
2024-09-07,地域特産品,特産品,岡田 太郎,鳥取,官公庁,REG-0137,直販,8,126617,52153,74464,58.8,
2024-09-09,農産物（直送）,食品,松田 恵,山口,官公庁,REG-0064,直販,72,781999,355644,426355,54.5,
2024-09-12,食品・飲料,食品,岡田 太郎,広島,個人事業主,REG-0090,直販,51,161545,95520,66025,40.9,
2024-09-13,食品・飲料,食品,中村 幸子,広島,個人事業主,REG-0058,直販,40,125565,78076,47489,37.8,
2024-09-21,業務用食材,食品,松田 恵,岡山,中小企業,REG-0005,直販,2,55757,29028,26729,47.9,
2024-09-21,農産物（直送）,食品,西村 拓,鳥取,中小企業,REG-0071,代理店,69,603720,283649,320071,53.0,
2024-09-22,電化製品,家電,岡田 太郎,広島,中堅企業,REG-0005,直販,3,152492,78705,73787,48.4,
2024-09-24,食品・飲料,食品,中村 幸子,広島,官公庁,REG-0086,直販,44,192838,117080,75758,39.3,
2024-09-26,農産物（直送）,食品,中村 幸子,岡山,中小企業,REG-0149,代理店,22,167932,77739,90193,53.7,
2024-09-27,日用品,日用品,中村 幸子,岡山,中堅企業,REG-0038,直販,61,214077,118184,95893,44.8,
2024-10-04,業務用食材,食品,中村 幸子,岡山,官公庁,REG-0039,代理店,5,144021,79986,64035,44.5,
2024-10-05,地域特産品,特産品,中村 幸子,広島,官公庁,REG-0039,直販,10,152989,59563,93426,61.1,
2024-10-07,地域特産品,特産品,本田 一郎,島根,個人事業主,REG-0031,Web,3,32549,12130,20419,62.7,
2024-10-08,農産物（直送）,食品,本田 一郎,山口,個人事業主,REG-0060,代理店,83,507437,237292,270145,53.2,
2024-10-08,食品・飲料,食品,中村 幸子,岡山,中堅企業,REG-0070,Web,6,22575,14833,7742,34.3,
2024-10-08,包装・資材,資材,松田 恵,鳥取,中堅企業,REG-0084,Web,8,184255,112223,72032,39.1,
2024-10-10,日用品,日用品,西村 拓,広島,中小企業,REG-0148,代理店,9,22472,12882,9590,42.7,
2024-10-11,業務用食材,食品,本田 一郎,島根,個人事業主,REG-0145,Web,3,64254,34438,29816,46.4,
2024-10-13,食品・飲料,食品,松田 恵,鳥取,中堅企業,REG-0096,直販,65,249249,147898,101351,40.7,
2024-10-14,食品・飲料,食品,松田 恵,山口,中堅企業,REG-0008,代理店,23,95278,62659,32619,34.2,
2024-10-15,業務用食材,食品,本田 一郎,島根,個人事業主,REG-0119,代理店,3,57831,31245,26586,46.0,
2024-10-15,包装・資材,資材,本田 一郎,岡山,個人事業主,REG-0101,直販,3,45389,28745,16644,36.7,
2024-10-17,業務用食材,食品,本田 一郎,島根,中堅企業,REG-0147,代理店,7,190309,98363,91946,48.3,
2024-10-17,農産物（直送）,食品,岡田 太郎,岡山,中小企業,REG-0099,代理店,95,737870,326491,411379,55.8,
2024-10-18,農産物（直送）,食品,中村 幸子,広島,中小企業,REG-0072,代理店,75,554616,234030,320586,57.8,
2024-10-19,電化製品,家電,松田 恵,鳥取,個人事業主,REG-0127,直販,1,37425,19371,18054,48.2,
2024-10-21,業務用食材,食品,中村 幸子,広島,中堅企業,REG-0065,直販,2,54113,28951,25162,46.5,
2024-10-24,業務用食材,食品,本田 一郎,島根,中堅企業,REG-0133,代理店,4,116757,62967,53790,46.1,
2024-10-25,包装・資材,資材,西村 拓,鳥取,中小企業,REG-0102,Web,8,132473,77196,55277,41.7,
2024-11-02,業務用食材,食品,松田 恵,鳥取,中堅企業,REG-0034,直販,9,283846,148061,135785,47.8,年末商戦準備
2024-11-02,日用品,日用品,中村 幸子,広島,個人事業主,REG-0029,直販,27,63392,34321,29071,45.9,年末商戦準備
2024-11-03,地域特産品,特産品,松田 恵,岡山,中小企業,REG-0009,直販,6,69780,29199,40581,58.2,年末商戦準備
2024-11-06,食品・飲料,食品,松田 恵,島根,中小企業,REG-0147,代理店,89,301047,174520,126527,42.0,年末商戦準備
2024-11-07,電化製品,家電,西村 拓,山口,中小企業,REG-0055,直販,9,433207,231851,201356,46.5,年末商戦準備
2024-11-11,電化製品,家電,松田 恵,島根,中小企業,REG-0030,代理店,1,46252,23761,22491,48.6,年末商戦準備
2024-11-14,業務用食材,食品,本田 一郎,島根,個人事業主,REG-0119,代理店,6,121359,65094,56265,46.4,年末商戦準備
2024-11-15,農産物（直送）,食品,本田 一郎,岡山,中堅企業,REG-0001,直販,29,298415,143667,154748,51.9,年末商戦準備
2024-11-16,農産物（直送）,食品,岡田 太郎,鳥取,官公庁,REG-0034,代理店,50,519064,223111,295953,57.0,年末商戦準備
2024-11-19,食品・飲料,食品,岡田 太郎,鳥取,官公庁,REG-0137,代理店,85,357732,209896,147836,41.3,年末商戦準備
2024-11-20,包装・資材,資材,西村 拓,鳥取,個人事業主,REG-0124,代理店,2,31399,18355,13044,41.5,年末商戦準備
2024-11-23,地域特産品,特産品,中村 幸子,島根,中小企業,REG-0106,代理店,9,96548,39005,57543,59.6,年末商戦準備
2024-11-24,電化製品,家電,岡田 太郎,山口,個人事業主,REG-0088,Web,4,163117,85234,77883,47.7,年末商戦準備
2024-11-26,日用品,日用品,西村 拓,広島,個人事業主,REG-0148,代理店,31,82095,46151,35944,43.8,年末商戦準備
2024-11-26,食品・飲料,食品,本田 一郎,岡山,中小企業,REG-0123,Web,48,167253,105543,61710,36.9,年末商戦準備
2024-11-27,地域特産品,特産品,岡田 太郎,広島,中小企業,REG-0018,代理店,7,79823,30295,49528,62.0,年末商戦準備
2024-12-02,日用品,日用品,本田 一郎,島根,中小企業,REG-0023,直販,81,241288,144758,96530,40.0,
2024-12-02,電化製品,家電,本田 一郎,鳥取,中小企業,REG-0013,直販,8,350661,198390,152271,43.4,
2024-12-06,農産物（直送）,食品,本田 一郎,山口,中小企業,REG-0073,代理店,95,780659,343365,437294,56.0,
2024-12-07,食品・飲料,食品,西村 拓,山口,中堅企業,REG-0054,直販,86,363997,234296,129701,35.6,
2024-12-10,地域特産品,特産品,松田 恵,鳥取,個人事業主,REG-0120,直販,2,19086,7339,11747,61.5,
2024-12-12,電化製品,家電,岡田 太郎,島根,中小企業,REG-0044,直販,8,327806,170270,157536,48.1,
2024-12-20,地域特産品,特産品,岡田 太郎,島根,中小企業,REG-0071,直販,3,32564,13103,19461,59.8,
2024-12-22,業務用食材,食品,西村 拓,山口,個人事業主,REG-0101,直販,6,126070,61245,64825,51.4,
2024-12-26,業務用食材,食品,西村 拓,島根,中堅企業,REG-0143,代理店,6,178314,93898,84416,47.3,
2024-12-27,業務用食材,食品,中村 幸子,島根,個人事業主,REG-0092,直販,8,152804,84161,68643,44.9,
